baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene,gene_symbol
85.682105160893,-7.55704247292214,0.678057935158603,-11.1451279913928,7.56354679080583e-29,1.7242617619e-24,ENSG00000182968,SOX1
150.579813586207,-5.31260492640421,0.613337471186946,-8.66179742144748,4.64383070543342e-18,5.29327042958828e-14,ENSG00000110680,CALCA
5264.11465470537,-1.70831211817589,0.205574632439888,-8.30993638612203,9.5753390471797e-17,7.27630014195186e-13,ENSG00000168646,AXIN2
111.78174524230501,5.04672075526237,0.614360016885744,8.21459830808119,2.12875639489199e-16,8.2491996484912e-13,ENSG00000109511,ANXA10
16.377934840388,-5.18754657681294,0.631277059946014,-8.21754330381746,2.0771424547867e-16,8.2491996484912e-13,ENSG00000112238,PRDM13
769.538432450694,-1.41260743662697,0.172012589883417,-8.2122328230996,2.17112768745656e-16,8.2491996484912e-13,ENSG00000118263,KLF7
1330.80481010995,-2.45867732499522,0.30072658248991,-8.17578979762363,2.93934045830849e-16,9.57259206115124e-13,ENSG00000153707,PTPRD
2595.72507763155,-2.58340628669954,0.322607014942201,-8.00790487200779,1.16679099802951e-15,3.32491679775984e-12,ENSG00000151490,PTPRO
259.773889859961,4.27324466822913,0.536946992227256,7.95841066266842,1.74263149699986e-15,4.41408558190064e-12,ENSG00000161798,AQP5
98.613945567821,3.4094588380677,0.438757441074788,7.77071456546886,7.80445880999083e-15,1.61743861355783e-11,ENSG00000096088,PGC
3127.3474611152,-1.93256945591943,0.24929474187838,-7.75214688187146,9.03517930995136e-15,1.71645818940801e-11,ENSG00000134215,VAV3
15.6247562831451,-3.77844780694123,0.490075494828239,-7.70993009610794,1.25886672631224e-14,2.04988462569572e-11,ENSG00000152192,POU4F1
45.1416592893734,-4.31918279721113,0.562295072448097,-7.68134562945119,1.57426104078196e-14,2.3112651667141702e-11,ENSG00000164794,KCNV1
209.646852736322,-1.89650387292378,0.247020819271956,-7.67750620580622,1.62215390917343e-14,2.3112651667141702e-11,ENSG00000198948,MFAP3L
36.1184128063062,-2.70048101739949,0.352939354630795,-7.65140237824832,1.98799204355535e-14,2.51779192316285e-11,ENSG00000185272,RBM11
530.18643782517,-2.00284263033533,0.262142199818918,-7.64029077240845,2.16731721061782e-14,2.60043844476076e-11,ENSG00000189369,GSPT2
