Regulon,Size,NES,p.value,FDR,TF
CALCA,47,-4.25,2.11e-5,0.0125,CALCA
HOXC11,50,4.17,3.05e-5,0.0125,HOXC11
FOXD1,225,4.2,2.63e-5,0.0125,FOXD1
PSD2,139,4.26,2.01e-5,0.0125,PSD2
