baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene,gene_symbol
85.3524938302566,-7.52756657680728,0.655430684258186,-11.4849163421864,1.57087449828621e-30,3.59588881402696e-26,ENSG00000182968,SOX1
17.0891356546588,-6.4656803300451,0.620825079245595,-10.4146571171093,2.12562154925138e-25,2.43288014419567e-21,ENSG00000112238,PRDM13
111.086688285423,5.62216662484014,0.590627842808889,9.51896645796857,1.74909934316301e-21,1.33462110214482e-17,ENSG00000109511,ANXA10
148.49313662013,-5.40662848582766,0.584852203649139,-9.24443552079213,2.36485630325095e-20,1.35334814094294e-16,ENSG00000110680,CALCA
5317.6991590764,-1.75715819544098,0.19688398707444,-8.92484057007955,4.46341630945649e-19,2.04344125479537e-15,ENSG00000168646,AXIN2
277.348367077738,4.55401277183167,0.51466773099695,8.84845211299765,8.8741496364701e-19,3.38563598880729e-15,ENSG00000161798,AQP5
1334.07701292676,-2.47472343839873,0.289359592251633,-8.55241541896652,1.20539046188728e-17,3.94179900900881e-14,ENSG00000153707,PTPRD
774.270239718874,-1.39091480942468,0.163323796848102,-8.516302193968,1.64728643375226e-17,4.48639265541963e-14,ENSG00000118263,KLF7
3133.93893297349,-2.06612813223491,0.242834681514017,-8.50837334829231,1.76390432479038e-17,4.48639265541963e-14,ENSG00000134215,VAV3
2638.86306821149,-2.61191031471244,0.309949901885227,-8.42687898536461,3.5500666033756e-17,8.12645746178708e-14,ENSG00000151490,PTPRO
47.1254780252199,-4.45978973522919,0.538974556086477,-8.27458306679997,1.28905878910153e-16,2.68253134012029e-13,ENSG00000164794,KCNV1
534.080690571791,-2.03448847220609,0.247415747643976,-8.22295464852,1.98549929245579e-16,3.49615879258504e-13,ENSG00000189369,GSPT2
2690.34651555367,-2.69326424813342,0.338286926940735,-7.96147895069341,1.69994986768191e-15,2.59423682807377e-12,ENSG00000188373,C10orf99
34.9438978985758,-4.51932673237798,0.568435987568012,-7.9504585058265,1.85822474343496e-15,2.65853891262311e-12,ENSG00000006377,DLX6
210.782390951429,-1.87017379068698,0.236266878405942,-7.91551402932467,2.46233626868353e-15,3.31560820743733e-12,ENSG00000198948,MFAP3L
603.020181342398,2.22017301942634,0.281721008931667,7.88075063285344,3.25420175876346e-15,3.92062802420286e-12,ENSG00000156535,CD109
16.5817885851727,-3.73200747525358,0.474174517740938,-7.87053571126851,3.53125846834959e-15,4.04170187994952e-12,ENSG00000152192,POU4F1
81.7721008148305,-2.57122980699878,0.328350920292038,-7.83073732429897,4.85017063955698e-15,5.28691695762376e-12,ENSG00000225706,PTPRD-AS1
744.553029759532,1.01133974035828,0.129266245001993,7.82369550800128,5.12947924300227e-15,5.33722315234386e-12,ENSG00000204634,TBC1D8
905.931671297012,-1.03683742869896,0.133250426527638,-7.78111902316435,7.18858222931603e-15,7.15451460049014e-12,ENSG00000076242,MLH1
95.2530454843185,-3.2343235324111,0.416098080404099,-7.77298354577854,7.66587026426883e-15,7.31164317580741e-12,ENSG00000162722,TRIM58
240.535632245609,-1.7577404747297,0.230976724335672,-7.61003291472446,2.74026127842077e-14,2.41258926632038e-11,ENSG00000184719,RNLS
97.4999607440519,3.12972550532416,0.416495213540705,7.51443330817122,5.71579773407962e-14,4.41328892595726e-11,ENSG00000096088,PGC
108.294058733089,-3.0660508180358,0.408105700618972,-7.51288407239971,5.78387435143585e-14,4.41328892595726e-11,ENSG00000168065,SLC22A11
10.2161045565716,-2.49681118110314,0.331753772877862,-7.52609732044361,5.22793802751462e-14,4.41328892595726e-11,ENSG00000236296,GUSBP5
36.3685355224224,-2.51731965573421,0.335294727845466,-7.50778180113354,6.01376308473476e-14,4.44067905718269e-11,ENSG00000185272,RBM11
4173.68757480635,-1.26471536007439,0.168703624765922,-7.49666974748883,6.54596289810408e-14,4.68261364689064e-11,ENSG00000108375,RNF43
251.734901006517,-2.84635864751434,0.38128111591918,-7.46524946731872,8.31419409610452e-14,5.7672793046645e-11,ENSG00000170827,CELP
258.93983598206,-1.65222534264649,0.221565113938925,-7.45706448670403,8.84714093089858e-14,5.95646773674116e-11,ENSG00000127989,MTERF1
1468.12322370256,-3.28501573638565,0.441714165085717,-7.43697167997358,1.03019625166358e-13,6.73777782766602e-11,ENSG00000170835,CEL
124.826928511548,-3.60335017836249,0.485679947203192,-7.41918664567589,1.17841749846224e-13,7.49309859924979e-11,ENSG00000130054,NALF2
338.274321699571,3.4758099944935,0.47019765663898,7.39223164007014,1.44384703568021e-13,8.82373796129973e-11,ENSG00000169903,TM4SF4
20.6486355508376,2.58060019585164,0.349253303444121,7.38890704942044,1.48040607554427e-13,8.82373796129973e-11,ENSG00000258405,ZNF578
17.5194606728467,3.99495151384804,0.54167859223665,7.37513272834441,1.64181401762242e-13,9.39569116934871e-11,ENSG00000168631,MUCL3
371.103358504848,2.74783548276034,0.375726107554373,7.3134004465279,2.60465299063959e-13,1.45422223435929e-10,ENSG00000198734,F5
67.8990318470887,-3.33141883379635,0.456498398425387,-7.2977667507433,2.92583271314478e-13,1.59464849134755e-10,ENSG00000185924,RTN4RL1
3432.10492122628,-2.52001953254706,0.346485453672118,-7.27308897340255,3.51358729643068e-13,1.87045411168825e-10,ENSG00000148600,CDHR1
57.8963552265841,-3.56126292327077,0.490627916605363,-7.25858191664066,3.91169469791116e-13,1.94657833325835e-10,ENSG00000145864,GABRB2
586.217920471219,-2.90354046697238,0.399738961928808,-7.26359135212216,3.76945656973069e-13,1.94657833325835e-10,ENSG00000164398,ACSL6
